# Time (s)	Latency (ms)	Throughput (Ratio)	New Rate (bps)
3	2.12524	0.0511752	2280769
4	2.11511	0.0373271	2280769
5	2.10981	0.0326815	2280769
6	2.10657	0.0303701	2280769
7	2.10437	0.0289789	2280769
8	2.10279	0.0280552	2280769
9	2.1016	0.0273951	2280769
10	2.10066	0.0268985	2280769
11	2.09991	0.0265136	2280769
12	2.09929	0.0262047	2280769
13	2.09877	0.0259528	2280769
14	2.09834	0.0257429	2280769
15	2.09796	0.0255647	2280769
16	2.09763	0.0254125	2280769
17	2.09735	0.0252801	2280769
18	2.09709	0.0251647	2280769
19	2.09687	0.0250625	2280769
20	2.09667	0.024972	2280769
