# Time (s)	Latency (ms)	Throughput (Ratio)	New Rate (bps)
2	0	0	5100000
3	2.12503	0.0522003	5100000
4	2.10898	0.0522975	5000000
5	2.10371	0.0519847	5100000
6	2.10102	0.0520792	5100000
7	2.09941	0.0521423	5000000
8	2.09835	0.0520118	5100000
9	2.09758	0.0520619	5000000
10	2.09702	0.0519695	5000000
11	2.09658	0.0519026	5100000
12	2.09622	0.0519456	5100000
13	2.09592	0.0519864	5000000
14	2.09568	0.0519342	5100000
15	2.09547	0.0519672	5100000
16	2.0953	0.0519977	5000000
17	2.09514	0.0519551	5100000
18	2.09501	0.0519806	5100000
19	2.09489	0.0520049	5000000
20	2.09479	0.0519691	5100000
